cliente,telemovel,servico,preco,horario,data,data_hora_registro
João,,Corte de Cabelo,50.0,08:00,2025-11-25,2025-11-25 13:38:48
aleilson,,Corte de Cabelo,50.0,15:00,2025-11-25,2025-11-25 14:04:37
